id,trade_date,user_id,server,broker_group,nfo_realized,nfo_settlement,bfo_realized,bfo_settlement,total_realized,total_settlement,net_pnl,max_loss,allocation,updated_max_loss,dte,summary_index,summary_dte,algo,input_fingerprint,updated_at
4190,2026-08-21,MNIRJHAR,VS14,AVG,0.0,1658.8,0.0,0.0,0.0,1658.8,1658.8,250000.0,125000.0,251658.8,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4191,2026-08-21,MRAJSHRE,VS14,AVG,0.0,1693.9,0.0,0.0,0.0,1693.9,1693.9,200000.0,100000.0,201693.9,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4192,2026-08-21,MSANDSHA,VS14,AVG,0.0,1693.25,0.0,0.0,0.0,1693.25,1693.25,350000.0,175000.0,351693.25,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4193,2026-08-21,MSHWETA1,VS14,AVG,0.0,1677.65,0.0,0.0,0.0,1677.65,1677.65,250000.0,125000.0,251677.65,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4194,2026-08-21,R7RA1279,VS14,FIFO,0.0,3543.8,0.0,0.0,0.0,3543.8,3543.8,500000.0,250000.0,500000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4195,2026-08-21,RENUD101,VS14,AVG,0.0,1688.7,0.0,0.0,0.0,1688.7,1688.7,200000.0,100000.0,201688.7,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4168,2026-08-21,90757742,VS15,AVG,0.0,1405.95,0.0,0.0,0.0,1405.95,1405.95,200000.0,100000.0,201405.95,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4169,2026-08-21,DIVYA934,VS15,AVG,0.0,1401.4,0.0,0.0,0.0,1401.4,1401.4,300000.0,150000.0,301401.4,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4170,2026-08-21,GASHUNAN,VS15,AVG,0.0,1372.8,0.0,0.0,0.0,1372.8,1372.8,250000.0,125000.0,251372.8,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4171,2026-08-21,GIRNAAR0,VS15,AVG,0.0,1408.55,0.0,0.0,0.0,1408.55,1408.55,350000.0,175000.0,351408.55,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4172,2026-08-21,MAADIKIR,VS15,AVG,0.0,1408.55,0.0,0.0,0.0,1408.55,1408.55,300000.0,150000.0,301408.55,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4173,2026-08-21,MANJU016,VS15,AVG,0.0,1411.8,0.0,0.0,0.0,1411.8,1411.8,250000.0,125000.0,251411.8,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4174,2026-08-21,MANUPANK,VS15,AVG,0.0,1405.3,0.0,0.0,0.0,1405.3,1405.3,200000.0,100000.0,201405.3,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4175,2026-08-21,MARYAMAN,VS15,AVG,0.0,1379.3,0.0,0.0,0.0,1379.3,1379.3,200000.0,100000.0,201379.3,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4176,2026-08-21,MDAKSHAS,VS15,AVG,0.0,1467.05,0.0,0.0,0.0,1467.05,1467.05,250000.0,125000.0,251467.05,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4177,2026-08-21,MGOURAV1,VS15,AVG,0.0,1438.45,0.0,0.0,0.0,1438.45,1438.45,250000.0,125000.0,251438.45,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4178,2026-08-21,MJHAWARK,VS15,AVG,0.0,1400.75,0.0,0.0,0.0,1400.75,1400.75,200000.0,100000.0,201400.75,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4179,2026-08-21,MSHILPIR,VS15,AVG,0.0,1448.85,0.0,0.0,0.0,1448.85,1448.85,200000.0,100000.0,201448.85,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4180,2026-08-21,RHUFJAIN,VS15,AVG,0.0,1407.25,0.0,0.0,0.0,1407.25,1407.25,250000.0,125000.0,251407.25,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4181,2026-08-21,RITESH10,VS15,AVG,0.0,1428.7,0.0,0.0,0.0,1428.7,1428.7,200000.0,100000.0,201428.7,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4182,2026-08-21,TOLANI79,VS15,AVG,0.0,1415.05,0.0,0.0,0.0,1415.05,1415.05,300000.0,150000.0,301415.05,4,NF,4,A1,72083a988a91a6cde117b57bc961e8781961ac9b93efd4a59b14dc47c8c2dca6,2026-08-21T15:12:13
4223,2026-08-21,06954037,VS16,AVG,0.0,1498.9,0.0,0.0,0.0,1498.9,1498.9,200000.0,100000.0,201498.9,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4224,2026-08-21,BAID1975,VS16,AVG,0.0,3088.8,0.0,0.0,0.0,3088.8,3088.8,450000.0,225000.0,453088.8,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4225,2026-08-21,KHEMANI2,VS16,AVG,0.0,1529.45,0.0,0.0,0.0,1529.45,1529.45,200000.0,100000.0,201529.45,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4226,2026-08-21,LAXMM764,VS16,AVG,0.0,1545.7,0.0,0.0,0.0,1545.7,1545.7,250000.0,125000.0,251545.7,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4227,2026-08-21,MJASVINC,VS16,AVG,0.0,1557.4,0.0,0.0,0.0,1557.4,1557.4,250000.0,125000.0,251557.4,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4228,2026-08-21,MSHASHI0,VS16,AVG,0.0,1491.75,0.0,0.0,0.0,1491.75,1491.75,250000.0,125000.0,251491.75,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4229,2026-08-21,MSIDDHAM,VS16,AVG,0.0,1537.9,0.0,0.0,0.0,1537.9,1537.9,200000.0,100000.0,201537.9,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4230,2026-08-21,MVIPINKJ,VS16,AVG,0.0,1515.15,0.0,0.0,0.0,1515.15,1515.15,250000.0,125000.0,251515.15,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4231,2026-08-21,PRATI446,VS16,AVG,0.0,1530.75,0.0,0.0,0.0,1530.75,1530.75,250000.0,125000.0,251530.75,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4232,2026-08-21,VIJAYS45,VS16,AVG,0.0,1519.7,0.0,0.0,0.0,1519.7,1519.7,250000.0,125000.0,251519.7,4,NF,4,A1,a43ac2187568aa262d9ba5b36e437c73b7ca55a8e863ff862592310f6673d06a,2026-08-21T15:14:03
4243,2026-08-21,74059822,VS18,AVG,0.0,1500.2,0.0,0.0,0.0,1500.2,1500.2,250000.0,125000.0,251500.2,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4244,2026-08-21,JYOTI116,VS18,AVG,0.0,1499.55,0.0,0.0,0.0,1499.55,1499.55,250000.0,125000.0,251499.55,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
4245,2026-08-21,MABHILAS,VS18,AVG,0.0,1501.5,0.0,0.0,0.0,1501.5,1501.5,200000.0,100000.0,201501.5,4,NF,4,A1,c32a7c29ed5f04cbbc0da86442c92d5d68f2ba0d63dfbe5f3d238a4c9e530c02,2026-08-21T15:15:08
